cred_score,device_cost,down_payment,borrower_age,payment_type_Cash,payment_type_Credit
749,942.45,178.64,29,False,True
715,1027.81,117.89,45,False,True
648,577.16,56.31,26,False,True
635,1020.88,208.42,49,False,True
539,909.59,0.0,36,False,True
715,1097.87,76.02,46,True,False
713,1192.4,155.61,18,True,False
642,956.72,0.0,39,True,False
802,1138.78,271.88,44,False,True
709,1002.67,158.13,40,False,True
618,925.69,162.94,18,False,True
717,825.73,142.18,39,False,False
594,813.06,0.0,22,True,False
603,1148.41,116.04,44,False,True
710,1278.56,309.34,18,False,True
713,1140.72,309.58,39,True,False
703,945.27,274.73,46,True,False
717,1017.95,106.69,34,False,True
773,817.7,384.69,34,False,True
732,1068.55,234.68,22,False,True
647,857.61,97.46,37,True,False
703,1032.51,145.74,34,False,True
721,914.76,172.25,37,False,True
674,811.37,99.13,35,False,True
524,822.73,48.02,30,True,False
624,945.19,144.79,33,True,False
622,806.25,106.36,51,True,False
598,980.91,149.43,19,False,False
656,921.81,98.0,34,True,False
559,1164.95,138.36,30,False,True
626,1059.11,115.57,44,False,True
739,1263.38,220.24,41,True,False
608,1509.67,164.93,34,True,False
711,1043.6,65.0,25,False,False
742,917.39,266.68,35,False,True
675,1205.55,278.79,18,False,True
536,698.36,40.31,39,True,False
612,1056.36,1.78,52,False,True
731,1299.07,331.37,37,False,True
664,1144.92,119.06,39,False,True
665,1015.7,196.34,38,True,False
731,1168.08,162.35,27,False,False
667,1029.19,143.4,39,True,False
638,1153.1,225.46,34,False,True
778,610.23,65.2,18,True,False
617,529.64,81.65,49,True,False
624,1024.71,148.85,18,False,True
712,836.83,72.46,37,True,False
578,811.96,30.79,23,False,True
650,944.56,128.25,33,True,False
753,909.04,211.29,28,False,True
791,971.51,338.67,52,False,True
642,1090.69,0.0,18,False,False
565,1049.11,262.62,35,True,False
652,690.28,59.93,37,False,True
623,777.42,141.52,37,False,True
632,1041.2,20.86,25,True,False
732,935.37,164.9,52,False,True
587,775.39,211.44,36,False,True
688,1183.93,305.35,43,True,False
699,647.39,139.57,35,True,False
