app_date,cred_score,device_cost,down_payment,payment_type,borrower_age,delinquency_90_days
2022-07-20,749,942.45,178.64,Credit,29,Performing/paid off
2025-06-07,715,1027.81,117.89,Credit,45,Performing/paid off
2020-10-05,648,577.16,56.31,Credit,26,90+ delinquent/default
2024-03-13,635,1020.88,208.42,Credit,49,Performing/paid off
2020-07-05,539,909.59,0.0,Credit,36,90+ delinquent/default
2023-07-13,715,1097.87,76.02,Cash,46,90+ delinquent/default
2021-04-05,713,1192.4,155.61,Cash,18,Performing/paid off
2022-08-29,642,956.72,0.0,Cash,39,90+ delinquent/default
2025-04-07,802,1138.78,271.88,Credit,44,Performing/paid off
2024-04-11,709,1002.67,158.13,Credit,40,Performing/paid off
2025-06-29,618,925.69,162.94,Credit,18,Performing/paid off
2021-07-24,717,825.73,142.18,Bank transfer,39,90+ delinquent/default
2020-05-21,594,813.06,0.0,Cash,22,Performing/paid off
2024-12-28,603,1148.41,116.04,Credit,44,Performing/paid off
2024-05-17,710,1278.56,309.34,Credit,18,Performing/paid off
2024-12-29,713,1140.72,309.58,Cash,39,90+ delinquent/default
2022-02-02,703,945.27,274.73,Cash,46,Performing/paid off
2021-09-21,717,1017.95,106.69,Credit,34,Performing/paid off
2023-05-03,773,817.7,384.69,Credit,34,Performing/paid off
2025-06-09,732,1068.55,234.68,Credit,22,90+ delinquent/default
2025-02-03,647,857.61,97.46,Cash,37,Performing/paid off
2023-04-24,703,1032.51,145.74,Credit,34,Performing/paid off
2020-05-23,721,914.76,172.25,Credit,37,Performing/paid off
2020-02-18,674,811.37,99.13,Credit,35,90+ delinquent/default
2021-02-02,524,822.73,48.02,Cash,30,90+ delinquent/default
2022-12-09,624,945.19,144.79,Cash,33,90+ delinquent/default
2021-03-08,622,806.25,106.36,Cash,51,90+ delinquent/default
2023-08-18,598,980.91,149.43,Bank transfer,19,90+ delinquent/default
2024-12-16,656,921.81,98.0,Cash,34,Performing/paid off
2022-09-12,559,1164.95,138.36,Credit,30,90+ delinquent/default
2024-12-07,626,1059.11,115.57,Credit,44,90+ delinquent/default
2025-01-16,739,1263.38,220.24,Cash,41,90+ delinquent/default
