cred_score,device_cost,down_payment,borrower_age,payment_type_Cash,payment_type_Credit
746,920.86,7.56,32,False,True
804,1368.42,447.69,36,False,True
716,984.95,92.86,40,True,False
659,1069.67,187.45,28,False,True
599,1044.72,110.93,40,False,True
698,1042.83,215.93,31,False,True
527,852.04,221.82,48,True,False
614,917.03,111.93,31,True,False
656,981.88,0.44,30,False,True
728,837.78,237.8,64,False,False
684,722.95,8.55,48,True,False
545,1131.87,222.84,33,False,True
768,857.9,332.76,34,False,False
676,1070.84,194.75,44,False,False
720,690.31,195.13,18,False,False
742,1170.68,436.16,35,False,True
537,1101.72,17.22,39,False,True
638,1151.7,138.27,46,False,True
789,718.04,160.25,36,True,False
726,867.64,37.11,31,False,False
703,1212.77,272.93,46,False,True
579,858.4,11.86,25,False,True
669,871.1,214.95,29,True,False
688,949.92,62.87,26,True,False
691,869.45,55.01,18,True,False
705,825.55,99.93,36,False,True
709,1130.1,144.44,24,False,True
658,997.7,80.96,34,True,False
642,1062.57,0.0,27,False,True
691,950.72,92.36,37,True,False
698,944.67,298.17,35,True,False
708,1180.51,93.83,41,False,True
650,863.89,0.0,41,False,True
680,569.72,0.0,38,True,False
750,1022.08,143.26,55,False,True
691,879.35,336.29,40,True,False
833,716.91,193.29,42,False,False
724,804.24,108.44,35,False,True
630,955.0,51.92,25,True,False
638,891.85,154.48,42,True,False
588,903.08,0.0,32,True,False
689,1172.74,282.96,46,True,False
626,959.45,102.81,47,False,True
603,984.2,104.43,19,False,True
668,851.58,52.69,28,False,True
728,755.19,79.73,42,False,True
600,697.38,86.94,37,False,True
654,942.2,162.37,36,False,True
723,1055.66,161.41,27,True,False
683,1087.9,231.93,31,True,False
684,728.18,197.11,19,False,True
564,1122.56,98.52,36,False,True
689,1114.09,141.25,26,True,False
664,1318.42,269.87,34,False,True
733,1208.29,223.36,54,True,False
676,1266.2,250.56,36,False,False
570,862.94,0.0,35,True,False
612,747.36,58.97,29,False,True
733,1171.27,438.96,32,False,True
772,979.54,224.68,21,False,True
583,674.59,60.26,39,True,False
743,760.97,98.28,44,False,True
623,929.5,203.0,34,False,True
652,912.0,0.0,21,False,True
800,862.79,304.28,42,False,True
614,962.33,52.96,32,True,False
627,942.59,69.39,29,True,False
720,1100.05,285.74,18,True,False
626,889.41,44.9,39,False,True
698,846.6,29.82,27,True,False
744,1029.78,227.19,40,False,True
740,756.18,193.41,53,False,True
711,974.94,164.98,59,False,True
580,917.44,153.32,24,True,False
568,1183.64,192.87,32,True,False
682,1228.56,185.75,36,False,True
631,1118.26,81.33,18,False,True
717,900.68,177.91,27,False,True
649,1042.7,260.57,21,False,True
732,896.91,51.84,43,False,True
708,1291.06,132.98,46,False,True
763,816.7,211.58,33,False,True
675,963.49,45.99,18,True,False
461,1101.25,0.0,33,True,False
648,943.07,118.51,44,False,True
584,816.74,147.84,43,True,False
757,1151.48,194.88,42,True,False
719,1037.93,67.93,29,True,False
644,831.61,60.02,27,False,True
634,786.34,127.74,47,False,True
600,1025.02,198.83,40,False,True
623,1063.34,101.37,19,False,True
705,1009.12,76.91,27,False,True
795,825.62,212.78,43,False,True
753,819.28,58.5,31,False,True
732,1198.63,151.53,34,False,True
689,877.66,183.99,18,True,False
719,701.51,175.29,34,True,False
644,978.1,150.84,38,True,False
737,1091.34,264.37,48,False,True
698,1240.68,116.04,32,True,False
632,767.93,16.75,41,False,True
850,1161.57,296.12,27,False,True
733,888.84,159.51,40,False,True
705,972.41,351.32,38,False,True
658,803.19,5.31,34,True,False
689,869.3,114.77,28,True,False
606,1238.9,156.56,26,True,False
684,1361.41,127.0,26,True,False
644,926.21,79.46,33,False,True
791,1256.26,430.43,46,False,True
555,946.91,0.0,22,False,True
720,1120.19,249.77,37,False,True
574,957.18,119.32,46,False,True
771,1099.96,309.85,25,False,True
695,845.27,124.8,34,False,True
588,849.53,143.58,43,True,False
850,953.99,373.75,21,False,True
581,1146.23,30.38,21,False,True
711,976.36,255.69,39,True,False
573,696.84,99.1,44,False,True
627,1188.04,140.84,35,True,False
602,853.68,0.0,48,False,True
538,1116.14,138.7,41,False,True
674,763.49,191.97,32,False,False
748,802.58,44.85,40,False,True
627,1068.35,81.24,22,False,True
728,636.84,253.37,54,False,True
689,681.03,128.87,35,False,False
724,1181.02,336.25,18,False,True
641,986.5,229.37,53,False,False
562,949.31,16.07,33,True,False
816,750.14,299.07,40,False,True
734,797.41,182.62,50,False,True
651,1020.58,149.81,43,True,False
558,985.84,104.72,41,True,False
628,956.99,116.73,29,False,True
663,832.23,230.7,36,False,True
637,1037.07,6.59,22,False,True
763,1033.77,303.85,19,False,True
619,791.71,155.77,36,True,False
632,1247.63,52.75,37,False,True
534,888.4,21.12,50,False,True
639,996.69,194.58,22,False,True
622,862.66,100.73,23,False,True
636,674.85,200.76,54,True,False
673,943.33,252.6,27,True,False
586,915.38,0.0,22,True,False
652,1076.93,92.11,25,False,True
605,872.42,210.75,36,False,True
777,947.8,152.93,18,False,True
615,861.6,135.27,53,False,False
723,1031.43,73.46,38,False,True
764,814.09,260.29,30,False,True
687,1369.24,269.17,28,False,False
614,857.96,86.34,32,False,True
699,1036.28,179.46,48,False,True
630,703.59,108.68,34,False,True
738,1213.61,418.1,29,True,False
791,1064.02,373.09,47,True,False
626,1108.78,54.3,45,False,True
675,1298.66,184.23,39,False,True
730,822.5,166.05,31,False,True
647,718.82,54.64,31,True,False
795,695.22,109.59,29,False,True
789,851.2,334.86,39,False,False
728,1057.96,118.58,35,False,True
609,917.23,53.07,22,False,True
757,881.56,182.24,30,False,False
606,1002.48,8.37,41,False,True
636,1215.67,226.86,30,True,False
712,861.41,172.23,27,False,True
695,700.9,82.35,41,True,False
592,1184.45,91.96,40,True,False
679,939.59,297.97,40,False,True
715,747.33,164.06,35,False,True
622,736.03,0.0,35,False,True
666,1173.59,81.12,35,False,True
606,1372.83,51.37,18,False,False
631,1091.29,183.04,38,False,True
639,851.46,86.51,47,True,False
670,1464.99,105.28,50,False,False
764,561.29,109.43,41,False,True
658,1021.79,170.49,25,True,False
673,1083.02,169.82,26,False,True
616,1093.16,148.71,18,False,True
701,1053.13,202.42,51,True,False
761,728.03,110.37,18,False,True
724,1149.35,236.33,41,True,False
501,1079.13,12.33,47,False,True
641,1067.41,136.49,26,False,False
790,1299.64,248.92,31,True,False
682,853.57,186.4,56,False,True
482,1080.94,21.53,37,True,False
723,1108.61,103.49,38,False,False
754,1054.1,108.78,33,False,True
606,1113.93,159.06,33,True,False
662,890.68,233.88,27,True,False
626,1151.91,317.42,29,False,True
589,727.45,31.82,25,True,False
662,1026.7,340.02,50,True,False
541,793.6,137.36,47,True,False
646,744.66,80.4,49,True,False
703,784.79,42.36,43,False,True
625,1198.69,250.99,32,False,True
536,698.36,40.31,39,True,False
648,1079.18,159.75,24,True,False
665,864.59,78.67,32,False,True
651,1202.8,127.83,21,False,True
653,888.97,142.69,31,False,True
719,587.58,91.23,33,False,True
570,924.75,54.88,23,True,False
710,636.0,100.11,31,False,True
618,1161.77,180.1,36,False,True
700,986.71,248.04,38,True,False
706,883.8,208.9,35,False,True
721,1059.92,226.08,33,False,True
753,796.37,108.62,38,False,True
678,958.24,48.15,44,False,True
669,1000.87,76.31,42,True,False
724,1065.84,260.74,46,False,True
673,943.33,252.6,27,True,False
653,1093.05,124.73,44,False,True
669,845.93,128.95,34,False,True
583,848.02,77.42,30,False,True
678,839.45,186.56,44,False,True
761,1138.67,155.16,36,True,False
643,970.93,217.77,51,True,False
700,1017.11,83.32,36,True,False
647,897.55,78.14,41,True,False
780,909.94,167.66,30,False,False
600,1025.02,198.83,40,False,True
630,799.11,124.38,49,True,False
610,933.94,69.66,41,True,False
723,1036.53,131.69,28,False,True
735,520.63,0.0,42,True,False
568,1183.64,192.87,32,True,False
643,583.51,207.01,39,True,False
613,1208.44,108.39,32,True,False
554,920.17,0.0,39,False,True
614,791.95,251.13,24,True,False
555,1377.23,81.93,26,False,True
631,1245.92,145.47,29,False,True
611,938.41,7.5,46,False,True
746,1022.45,319.56,46,False,True
708,707.67,144.13,29,False,True
716,773.42,225.01,25,True,False
626,977.15,159.55,47,False,True
658,803.19,5.31,34,True,False
669,1169.7,310.17,36,False,False
649,549.16,0.0,46,True,False
807,938.25,353.12,36,False,True
603,945.03,0.0,42,True,False
712,866.41,93.67,25,False,False
758,847.27,258.0,38,False,False
582,833.24,128.03,46,True,False
613,740.47,37.46,36,True,False
750,932.96,187.81,39,True,False
695,1009.01,86.37,39,False,False
550,853.44,25.34,36,False,True
745,563.48,48.34,35,False,True
541,802.88,135.35,40,False,False
607,866.49,48.86,27,True,False
744,752.93,157.6,43,False,True
637,941.67,0.0,51,False,True
677,550.03,43.25,38,False,True
658,1102.85,163.32,36,False,False
665,737.86,0.0,50,False,True
674,1046.97,121.36,35,False,True
780,909.94,167.66,30,False,False
650,860.76,149.25,30,True,False
706,928.06,144.71,35,False,True
527,1095.83,0.0,46,False,True
653,978.93,165.01,29,False,True
683,791.38,6.74,37,False,True
724,841.34,145.86,27,False,True
622,736.22,51.85,18,False,True
735,802.95,171.32,50,False,True
635,827.03,2.03,34,False,True
700,1054.59,166.93,32,False,True
600,888.09,100.63,45,True,False
663,566.93,184.33,46,True,False
689,1481.06,223.23,33,True,False
559,971.78,114.06,25,False,True
734,936.51,115.17,36,False,True
720,1090.88,287.6,18,False,True
611,863.22,17.6,48,False,True
783,879.69,197.96,35,False,True
640,1001.1,188.92,27,True,False
668,886.14,85.27,40,False,False
644,1044.51,53.16,38,False,True
721,746.79,68.19,25,False,False
581,970.43,62.91,48,False,True
628,1110.48,287.41,49,False,True
574,897.49,42.1,25,True,False
668,1050.09,155.97,22,False,True
675,809.51,0.0,46,False,True
734,1003.49,64.43,30,True,False
702,968.01,135.88,22,True,False
634,962.35,32.07,34,False,True
733,991.98,245.92,55,False,True
579,974.24,4.61,39,True,False
736,855.32,159.03,30,False,True
734,1171.07,329.49,38,False,False
619,926.39,0.0,32,True,False
707,940.69,264.62,33,False,True
528,855.58,23.55,42,False,True
697,846.64,172.23,31,True,False
758,1094.35,126.17,30,False,True
642,1002.71,74.11,60,False,True
666,1015.92,157.03,49,True,False
590,1015.24,65.67,47,True,False
645,940.8,94.14,26,True,False
592,930.19,66.58,22,True,False
708,770.46,181.24,39,False,True
755,1130.11,197.68,34,False,True
675,1145.51,15.69,36,False,True
672,922.98,294.34,35,False,True
658,925.33,88.29,37,True,False
721,904.84,165.53,36,False,True
745,829.27,42.7,18,False,True
801,841.9,182.6,35,False,True
620,1233.3,250.48,42,False,True
757,1151.48,194.88,42,True,False
611,996.1,129.36,33,False,True
620,844.49,83.48,18,True,False
733,939.47,104.82,21,False,True
715,730.24,71.52,37,True,False
676,995.53,305.7,47,False,True
738,970.95,96.42,47,False,True
660,924.29,144.66,33,True,False
732,1047.05,295.17,30,True,False
632,544.1,0.0,21,True,False
739,1033.35,101.03,37,False,True
626,965.95,160.71,23,True,False
700,758.0,204.71,32,False,True
637,960.61,1.6,32,False,False
779,894.9,260.11,28,True,False
698,1240.68,116.04,32,True,False
725,664.9,114.4,40,True,False
599,923.59,214.31,18,True,False
651,1047.26,135.63,27,False,True
611,938.41,7.5,46,False,True
701,795.21,329.29,30,False,False
682,883.58,172.82,27,False,False
773,740.42,119.76,22,False,True
693,1062.9,2.58,40,False,True
719,774.41,206.61,32,False,True
784,945.7,378.06,26,False,True
650,1170.08,133.37,46,True,False
591,1014.13,56.02,53,True,False
666,798.03,80.36,31,True,False
620,898.1,119.8,40,False,True
665,1058.71,128.73,29,False,True
687,1145.67,86.88,30,False,True
592,1030.77,84.59,21,False,False
702,873.25,106.58,36,False,True
774,1042.01,219.28,32,False,True
685,842.14,77.67,18,False,True
607,1028.95,107.79,34,False,True
598,936.4,0.0,24,False,True
696,1012.3,245.43,37,True,False
631,966.38,188.95,36,False,True
735,991.29,85.74,40,False,True
713,1140.72,309.58,39,True,False
776,568.49,105.32,21,True,False
